#CODE GEOPOST;pltri;service mark;FAMILLE GEO ;service text;description produit;PRODUIT CHRONOPOST;NAT OU INTER;parstictise jour;CDB13 O N;PRECOCE;MULTICOLIS fr;instance poste;SAC o OU n;SUFFIXE;CODE fact;libel25;CODE EXP;SERVICE ELEMENT2;libelle fa;ON;;
#;;;;;;;;;;;;;;;;;;;;;;
179;S9..;.;21;AM1.............;Chrono10...........;O;N;SE;O;O;O;O;N;EE;2;10H.......;2;;Chrono 10.....;P;1;
182;SAS9;.;21;AM1-6...........;Chrono10 SAMEDI....;O;N;VE;O;O;O;O;N;EE;2;SA10......;602;;Chrono 10.....;O;2;
179;LUS9;.;21;AM1.............;Chrono10 LUNDI.....;S;N;VE;O;O;O;O;N;EE;2;LU10......;102;;Chrono 10.....;O;3;
802;PG..;.;..;PG-NO...........;PROGRAMME..........;S;N;SE;O;O;O;O;N;PG;20;PG........;20;;PROGRAMME.....;P;4;
803;SAPG;.;..;PG-6-NO.........;PROGRAMME SAMEDI...;S;N;VE;O;O;O;O;N;PG;20;SAPG......;620;;PROGRAMME.....;O;5;
802;LUPG;.;..;PG-NO...........;PROGRAMME LUNDI....;S;N;VE;O;O;O;O;N;PG;20;LUPG......;120;;PROGRAMME.....;O;6;
802;PG..;.;..;PG-NO...........;PROGRAMME..........;S;N;SE;O;O;O;O;N;PG;20;PG........;20;;PROGRAMME.....;P;804;
803;SAPG;.;..;PG-6-NO.........;PROGRAMME SAMEDI...;S;N;VE;O;O;O;O;N;PG;20;SAPG......;620;;PROGRAMME.....;O;805;
802;LUPG;.;..;PG-NO...........;PROGRAMME LUNDI....;S;N;VE;O;O;O;O;N;PG;20;LUPG......;120;;PROGRAMME.....;O;806;
802;PG..;.;..;PG-NO...........;PROGRAMME..........;S;N;SE;O;O;O;O;N;PG;20;PG........;20;;PROGRAMME.....;P;1604;
803;SAPG;.;..;PG-6-NO.........;PROGRAMME SAMEDI...;S;N;VE;O;O;O;O;N;PG;20;SAPG......;620;;PROGRAMME.....;O;1605;
802;LUPG;.;..;PG-NO...........;PROGRAMME LUNDI....;S;N;VE;O;O;O;O;N;PG;20;LUPG......;120;;PROGRAMME.....;O;1606;
801;PG..;.;..;RB..............;RETRAIT BUREAU.....;O;N;SE;O;O;O;O;N;RB;0;RB........;0;;Retrait bureau;P;7;
845;SAPG;.;..;RB-6............;RETRAIT BUR SAMEDI.;O;N;VE;O;O;O;N;N;RB;0;SARB......;600;;Retrait bureau;O;8;
801;LUPG;.;..;RB..............;RETRAIT BUR LUNDI..;S;N;VE;O;O;O;N;N;RB;0;LURB......;100;;Retrait bureau;O;9;
226;12H.;.;22;AM2.............;Chrono13...........;O;N;SE;O;N;O;O;N;FR;1;13H.......;1;;Chrono 13.....;P;999;
229;SA12;.;22;AM2-6...........;Chrono13 SAMEDI....;O;N;VE;O;N;O;O;N;FR;1;SA13......;601;;Chrono 13.....;O;999;
226;LU12;.;22;AM2.............;Chrono13 LUNDI.....;S;N;VE;O;N;O;O;N;FR;1;LU13......;101;;Chrono 13.....;O;999;
899;12H.;.;22;AM2.............;Chrono13...........;O;N;SE;O;N;O;O;N;FR;1;13H.......;1;;Chrono 13.....;P;11;
897;SA12;.;22;AM2-6...........;Chrono13 SAMEDI....;O;N;VE;O;N;O;O;N;FR;1;SA13......;601;;Chrono 13.....;O;12;
899;LU12;.;22;AM2.............;Chrono13 LUNDI.....;S;N;VE;O;N;O;O;N;FR;1;LU13......;101;;Chrono 13.....;O;13;
920;12H.;.;22;AM2-COD-NO......;REP NO.............;O;N;SE;O;N;N;O;N;AA;9;C13 REP...;9;;REP NO........;P;14;
921;SA12;.;22;AM2-6-COD-NO....;REP SAMEDI NO......;O;N;VE;O;N;N;O;N;AA;9;SA 13 REP.;609;;REP NO........;O;15;
920;LU12;.;22;AM2-COD-NO......;REP LUNDI NO.......;S;N;VE;O;N;N;O;N;AA;9;LU 13 REP.;109;;REP NO........;O;16;
237;INT.;.;22;AM2-COD.........;REP................;O;I;SE;N;N;N;O;N;AA;9;REP INT...;9;;REP...........;P;17;
237;INT.;.;22;AM2-COD.........;REP................;O;I;VE;N;N;N;O;N;AA;9;REP INT...;9;;REP...........;O;18;
237;INT.;.;22;AM2-COD.........;REP................;S;I;VE;N;N;N;O;N;AA;9;REP INT...;9;;REP...........;O;19;
237;12H.;.;22;AM2-COD.........;REP................;O;N;SE;N;N;N;O;N;AA;9;REP INT...;9;;REP...........;P;999;
830;18H.;.;10;PM2.............;Chrono18...........;O;N;SE;O;N;O;O;N;JB;16;18H.......;16;;Chrono 18.....;P;21;
832;SA18;.;10;PM2-6...........;Chrono18 SAMEDI....;O;N;VE;O;N;O;O;N;JB;16;SA18......;616;;Chrono 18.....;O;22;
830;LU18;.;10;PM2.............;Chrono18 LUNDI.....;S;N;VE;O;N;O;O;N;JB;16;LU18......;116;;Chrono 18.....;O;23;
302;INT.;E;30;IE2.............;INTER EXPRESS......;O;I;SE;O;N;O;O;N;FR;17;EXP INT...;17;;Chrono Express;P;41;
304;INT.;.;30;IE2-6...........;INTER EXPRESS SAM..;O;I;VE;O;N;O;O;N;FR;17;EXP INT SA;617;;CHRONO Express;P;999;
304;SA12;.;30;IE2-6...........;INTER EXPRESS SAM..;O;N;VE;O;N;O;O;N;FR;17;EXP INT SA;617;;CHRONO Express;P;42;
314;IPM.;E;31;IE1.............;PREMIUM EUROPE.....;O;I;SE;O;N;O;O;N;EE;37;PRE INT...;37;;Chrono Premium;P;31;
340;INT.;E;30;IE2 PALLET......;FRET DOM...........;O;I;SE;O;N;O;O;N;FR;3S;EXP PAL...;37;;Chrono FRET DO;P;44;
101;DPD.;.;1;D...............;INTER CLASSIC NORM.;O;I;SE;O;N;O;O;N;JF;44;COM INT...;44;;Chrono Classic;P;51;
136;DPD.;X;1;D...............;INTER CLASSIC KLEIN;O;I;SE;O;N;O;O;N;JF;44;COM INT...;44;;Chrono Classic;O;52;
337;DPD.;R;1;D-B2C-PSD.......;CHRONO RELAIS EUR N;O;I;SE;O;N;O;O;N;JF;49;REL EUR...;49;;Chrono relais ;P;53;
338;DPD.;R;1;D-B2C-PSD.......;CHRONO RELAIS EUR..;O;I;SE;O;N;O;O;N;JF;49;REL EUR...;49;;Chrono relais ;O;54;
337;18H.;R;1;D-B2C-PSD.......;CHRONO RELAIS EUR N;O;N;SE;O;N;O;O;N;JF;49;REL EUR...;49;;Chrono relais ;P;999;
338;18H.;R;1;D-B2C-PSD.......;CHRONO RELAIS EUR..;O;N;SE;O;N;O;O;N;JF;49;REL EUR...;49;;Chrono relais ;O;999;
155;DPD.;.;1;PM2.............;GUARANTEE..........;O;I;SE;O;N;O;O;O;JF;44;COM INT GU;44;;CHRONO CLASSIC;P;999;
406;12H.;.;22;AM2-SWAP........;SWAP13.............;S;N;SE;O;N;O;O;N;FR;1O;SWAP 13...;39;;SWAP 13.......;P;9111;A01
407;SA12;.;22;AM2-SWAP-6......;SWAP13 SAMEDI......;S;N;VE;O;N;O;O;N;FR;1O;SA SWAP 13;639;;SWAP 13.......;O;9112;A01
406;LU12;.;22;AM2-SWAP........;SWAP13 LUNDI.......;S;N;VE;O;N;O;O;N;FR;1O;LU SWAP 13;139;;SWAP 13.......;O;9113;A01
243;12H.;.;22;AM2-SWAP........;SWAP13.............;S;N;SE;O;N;O;O;N;FR;1O;SWAP 13...;39;;SWAP 13.......;P;111;
245;SA12;.;22;AM2-SWAP-6......;SWAP13 SAMEDI......;S;N;VE;O;N;O;O;N;FR;1O;SA SWAP 13;639;;SWAP 13.......;O;112;
243;LU12;.;22;AM2-SWAP........;SWAP13 LUNDI.......;S;N;VE;O;N;O;O;N;FR;1O;LU SWAP 13;139;;SWAP 13.......;O;113;
837;18H.;.;10;PM2-SWAP-NO.....;SWAP18 COMFORT.....;S;N;SE;N;N;N;O;N;JB;1P;SWAP 18...;40;;SWAP 18.......;P;121;
836;SA18;.;10;PM2-SWAP-6-NO...;SWAP18 SAMEDI......;S;N;VE;N;N;N;O;N;JB;1P;SA SWAP 18;640;;SWAP 18.......;O;122;
837;LU18;.;10;PM2-SWAP-NO.....;SWAP18 LUNDI.......;S;N;VE;N;N;N;O;N;JB;1P;LU SWAP 18;140;;SWAP 18.......;O;123;
243;12H.;.;22;AM2-SWAP........;SWAP13.............;S;N;SE;O;N;O;O;N;FR;2H;SWAP 13...;39;;SWAP 13 RET PA;P;114;
245;SA12;.;22;AM2-SWAP-6......;SWAP13 SAMEDI......;S;N;VE;O;N;O;O;N;FR;2H;SA SWAP 13;639;;SWAP 13 RET PA;O;115;
243;LU12;.;22;AM2-SWAP........;SWAP13 LUNDI.......;S;N;VE;O;N;O;O;N;FR;2H;LU SWAP 13;139;;SWAP 13 RET PA;O;116;
837;18H.;.;10;PM2-SWAP-NO.....;SWAP18 COMFORT.....;S;N;SE;N;N;N;O;N;JB;2K;SWAP 18...;40;;SWAP 18 RET PA;P;124;
836;SA18;.;10;PM2-SWAP-6-NO...;SWAP18 SAMEDI......;S;N;VE;N;N;N;O;N;JB;2K;SA SWAP 18;640;;SWAP 18 RET PA;O;125;
837;LU18;.;10;PM2-SWAP-NO.....;SWAP18 LUNDI.......;S;N;VE;N;N;N;O;N;JB;2K;LU SWAP 18;140;;SWAP 18 RET PA;O;126;
806;S9..;.;21;AM1-CS-NO.......;MED 1 10H..........;S;N;SE;O;O;O;N;N;EE;8A;MED 10H...;80;;SANTE 1 10....;P;201;
807;SAS9;.;21;AM1-6-CS-NO.....;MED 1 SAMEDI 10H...;S;N;VE;O;O;O;N;N;EE;8A;MED SA10..;680;;SANTE 1 10....;O;202;
806;LUS9;.;21;AM1-CS-NO.......;MED 1 LUNDI 10H....;S;N;VE;O;O;O;N;N;EE;8A;MED LU10..;180;;SANTE 1 10....;O;203;
819;12H.;.;22;AM2-CS-NO.......;MED 1 13H..........;S;N;SE;O;N;O;N;N;FR;8B;MED 13H...;80;;SANTE 1 13....;P;211;
822;SA12;.;22;AM2-6-CS-NO.....;MED 1 SAMEDI 13H...;S;N;VE;O;N;O;N;N;FR;8B;MED SA13..;680;;SANTE 1 13....;O;212;
819;LU12;.;22;AM2-CD-NO.......;MED 1 LUNDI 13H....;S;N;VE;O;N;O;N;N;FR;8B;MED LU13..;181;;SANTE 1 13....;O;213;
828;18H.;.;10;PM2-CS-NO.......;MED 1 18H..........;S;N;SE;O;N;O;N;N;JB;8C;MED 18H...;82;;SANTE 1 18....;P;221;
829;SA18;.;10;PM2-6-C11-CS-NO.;MED 1 SAMEDI 18H...;S;N;VE;O;N;O;N;N;JB;8C;MED SA18..;682;;SANTE 1 18....;O;222;
828;LU18;.;10;PM2-C11-CS-NO...;MED 1 LUNDI 18H....;S;N;VE;O;N;O;N;N;JB;8C;MED LU18..;182;;SANTE 1 18....;O;223;
804;S9..;.;21;AM1-CS-NO.......;MED FRI 10H........;S;N;SE;O;O;O;N;N;EE;8D;MED FRI 10H;83;;SANTE 2 10..;P;251;
805;SAS9;.;21;AM1-6-CS-NO.....;MED FRI SAMEDI 10H.;S;N;VE;O;O;O;N;N;EE;8D;ME FRI SA10;683;;SANTE 2 10..;O;252;
817;12H.;.;22;AM2-CS-NO.......;MED FRI 13H........;S;N;SE;O;N;O;N;N;FR;8E;MED FRI 13H;84;;SANTE 2 13..;P;261;
818;SA12;.;22;AM2-6-CS-NO.....;MED FRI SAMEDI 13H.;S;N;VE;O;N;O;N;N;FR;8E;ME FRI SA13;684;;SANTE 2 13..;O;262;
846;18H.;.;10;PM2-CD-NO.......;MED FRI 18H........;S;N;SE;O;N;O;N;N;JB;8F;MED FRI 18H;85;;SANTE 2 18..;P;271;
847;SA18;.;10;PM2-6-CD-NO.....;MED FRI SAMEDI.18H.;S;N;VE;O;N;O;N;N;JB;8F;ME FRI SA18;685;;SANTE 2 18..;O;272;
878;12H.;.;22;AM2-HAZ-CS-NO...;MED 3 13H..........;S;N;SE;N;N;O;N;N;FR;8G;HAZ 13H....;74;;SANTE 3 13....;P;301;
878;LU12;.;22;AM2-HAZ-CS-NO...;MED 3 LUNDI 13H....;S;N;VE;N;N;O;N;N;FR;8G;MED LU13...;174;;SANTE 3 13....;P;303;
878;12H.;.;22;AM2-HAZ-CS-NO...;MED 3 13H..........;S;N;SE;N;N;O;N;N;FR;8G;HAZ 13H....;74;;SANTE 3 13....;P;311;
878;LU12;.;22;AM2-HAZ-CS-NO...;MED 3 LUNDI 13H....;S;N;VE;N;N;O;N;N;FR;8G;MED LU13...;174;;SANTE 3 13....;P;313;
826;18H.;.;10;PM2-HAZ-CS-NO...;MED 3 18H..........;S;N;SE;N;N;O;N;N;JB;8H;HAZ 18H....;87;;SANTE 3 18....;P;321;
826;LU18;.;10;PM2-HAZ-CS-NO...;MED 3 LUNDI 18H....;S;N;VE;N;N;O;N;N;JB;8H;HAZ LU18...;187;;SANTE 3 18....;O;323;
879;12H.;.;22;AM2-HAZ-CS-NO...;MED FRI 13H........;S;N;SE;N;N;O;N;N;FR;8I;MED FRI 13H;75;;SANTE 4 13..;P;351;
881;SA12;.;22;AM2-HAZ-6-CS-NO.;MED FRI SA 13H.....;S;N;VE;N;N;O;N;N;FR;8I;ME FRI SA13;675;;SANTE 4 13..;P;352;
879;12H.;.;22;AM2-HAZ-CS-NO...;MED FRI 13H........;S;N;SE;N;N;O;N;N;FR;8I;MED FRI 13H;75;;SANTE 4 13..;P;361;
881;SA12;.;22;AM2-HAZ-6-CS-NO.;MED FRI SA 13H.....;S;N;VE;N;N;O;N;N;FR;8I;ME FRI SA13;675;;SANTE 4 13..;P;362;
827;18H.;.;10;PM2-HAZ-CS-NO...;MED FRI 18H........;S;N;SE;N;N;O;N;N;JB;8J;MED FRI 18H;89;;SANTE 4 18..;P;371;
880;SA18;.;10;PM2-HAZ-6-CS-NO.;MED FRI SA 18H.....;S;N;SE;N;N;O;N;N;JB;8J;ME FRI SA18;689;;SANTE 4 18..;P;372;
868;12H.;R;22;AM2-SHOP-NO.....;SENSIBLE PR........;S;N;SE;N;N;O;0;N;FR;50;SEC 13H REL;50;;SECU 13 REL;P;999;
869;SA12;R;22;AM2-6-SHOP-NO...;SENSIBLE SA PR.....;S;N;VE;N;N;O;N;N;FR;50;SEC SA1 REL;650;;SECU SA13 REL;O;999;
868;LU12;R;22;AM2-SHOP-NO.....;SENSIBLE LU PR.....;S;N;VE;N;N;O;N;N;FR;50;SEC LU1 REL;150;;SECU LU13 REL;O;999;
870;12H.;.;22;AM2-NO..........;SENSIBLE 13H.......;S;N;SE;N;N;O;0;N;FR;51;SECU 13H...;51;;SECU 13....;P;999;
871;SA12;.;22;AM2-6-NO........;SENSIBLE SA 13H....;S;N;VE;N;N;O;N;N;FR;51;SECU SA13..;651;;SECU SA13..;O;999;
870;LU12;.;22;AM2-NO..........;SENSIBLE LU 13H....;S;N;VE;N;N;O;N;N;FR;f51;SECU LU13.;151;;SECU LU13..;O;999;
872;18H.;.;10;PM2-NO..........;SENSIBLE 18H.......;S;N;SE;N;N;O;0;N;JB;53;SECU 18H...;53;;SECU 18....;P;999;
873;SA18;.;10;PM2-6-NO........;SENSIBLE SA 18H....;S;N;VE;N;N;O;N;N;JB;53;SECU SA18..;653;;SECU SA18..;O;999;
872;LU18;.;10;PM2-NO..........;SENSIBLE LU 18H....;S;N;VE;N;N;O;N;N;JB;53;SECU LU18..;153;;SECU LU18..;O;999;
874;S9..;.;21;AM1-NO..........;PERISSABLE 10H.....;S;N;SE;N;O;O;N;N;EE;1K;PERI 10H...;18;;PERISSABLE ...;P;421;
875;SAS9;.;21;AM1-6-NO........;PERISSABLE SA10....;S;N;VE;N;O;O;N;N;EE;1K;PERI SA10..;618;;PERISSABLE SA.;O;422;
874;LUS9;.;21;AM1-NO..........;PERISSABLE LU10....;S;N;VE;N;O;O;N;N;EE;1K;PERI LU10..;118;;PERISSABLE LU.;O;423;
820;12H.;.;22;AM2-NO..........;PERISSABLE 13H.....;S;N;SE;N;N;O;N;N;FR;78;PERI 13H...;78;;PERISSABLE ...;P;431;
821;SA12;.;22;AM2-6-NO........;PERISSABLE SA13....;S;N;VE;N;N;O;N;N;FR;78;PERI SA13..;678;;PERISSABLE SA.;O;432;
820;LU12;.;22;AM2-NO..........;PERISSABLE LU13....;S;N;VE;N;N;O;N;N;FR;78;PERI LU13..;178;;PERISSABLE LU.;O;433;
862;18H.;.;10;PM2-NO..........;FTT 18H IP INTERDIT;S;N;SE;O;N;O;N;N;JB;1L;18H........;30;;CHRONO 18 NO..;P;999;
863;SA18;.;10;PM2-6-NO........;FTT 18H IP INTERDIT;S;N;VE;O;N;O;N;N;JB;1L;SA18.......;630;;CHRONO 18 NO..;O;999;
862;LU18;.;10;PM2-NO..........;FTT 18H IP INTERDIT;S;N;VE;O;N;O;N;N;JB;1L;LU18.......;130;;CHRONO 18 NO..;O;999;
